weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2
0.58,0.01,0.12,0.25
0.59,0.02,0.21,0.37
0.59,0.02,0.13,0.44
0.6,0.02,0.2,0.47
0.6,0.01,0.13,0.48
0.6,0.01,0.2,0.49
0.58,0.01,0.37,0.5
0.59,0.01,0.45,0.5
0.6,0,0.01,0.5
0.59,0.01,0.26,0
0.6,0,0.1,0.25
0.6,0,0.21,0.13
0.59,0,0.37,0.19
0.59,0.01,0.05,0.34
0.59,0.01,0.24,0.42
0.6,0,0.39,0.04
0.6,0,0.04,0.27
0.59,0.01,0.25,0.11
0.6,0.01,0.11,0.31
0.61,0,0.29,0.4
0.6,0,0.38,0.05
0.58,0.05,0.42,0.27
0.59,0.58,0.05,0.39
0.85,1.58,0.79,0.94
2.14,2.85,0.66,0.72
4.46,4.75,0.6,1.61
7,6.94,1.06,2.06
9.54,9.18,1.8,2.78
12.17,11.47,2.67,3.64
14.74,15.98,3.1,4.07
17.39,18.33,3.82,4.79
20.03,20.66,4.67,5.14
22.58,23.01,5.6,5.82
25.21,25.47,6.07,6.16
27.95,27.95,6.8,7.33
30.97,30.54,7.67,7.92
34.25,33.32,9.1,8.71
37.75,36.29,9.82,9.6
41.42,39.44,11.17,11.05
45.2,42.68,12.35,12.28
48.89,45.95,13.94,12.89
52.47,49.09,14.74,14.19
55.98,55.09,15.63,14.85
59.47,58.09,16.58,15.67
62.86,61.11,17.56,16.59
66.2,64.08,19.05,17.54
69.77,67.2,20.79,18.02
73.62,70.4,21.66,19.26
77.97,73.78,23.1,20.38
82.62,77.51,24.81,22.44
87.29,81.59,26.17,23.47
91.69,85.48,28.35,24.99
96.36,89.28,29.94,26.24
100.98,93.26,31.74,27.87
105.36,100.8,33.13,28.69
109.82,104.66,34.83,30.09
114.06,108.49,36.68,31.3
118.12,112.17,39.11,32.4
122.55,115.98,41.32,33.95
127.32,119.86,43.43,35.73
132.4,123.95,45.98,37.61
137.77,128.42,48.26,39.06
143.37,133.27,50.89,41.28
148.85,138.04,53.21,43.39
154.08,142.66,55.87,44.95
159.27,147.19,58.2,46.22
164.2,151.65,60.87,47.86
169.19,160.35,62.7,49.68
174.04,164.64,65.62,51.59
178.71,168.83,68.57,53.55
183.8,173.33,71.55,55.52
189.04,177.83,74.54,57.51
194.39,182.47,77.54,60.01
200.27,187.61,81.03,62.75
206.62,193.32,84.78,65.13
212.76,199.05,88.16,67.31
218.33,204.38,91.85,69.91
223.78,209.3,94.69,72.7
229.21,214.37,97.61,75.6
234.58,224.28,100.57,78.05
239.59,228.95,102.05,78.78
241.17,230.31,102.29,79.14
240.36,229.35,102.41,79.32
239.54,228.39,102.47,78.91
238.84,227.6,102.5,78.71
238.24,226.9,102.52,78.6
237.69,226.28,102.52,78.55
237.21,225.7,102.53,78.53
236.77,225.17,102.03,78.01
